StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
AAPL,AAPL150612C00131000,131.0,2015-06-12,Call,0.03,0.02,0.03,31082,28309,19:54
AAPL,AAPL150612C00132000,132.0,2015-06-12,Call,0.02,0.01,0.02,9633,22067,19:54
AAPL,AAPL150612C00133000,133.0,2015-06-12,Call,0.01,0.00,0.01,6433,49642,19:54
AAPL,AAPL150612C00134000,134.0,2015-06-12,Call,0.02,0.00,0.02,2187,11000,19:54
AAPL,AAPL150612C00135000,135.0,2015-06-12,Call,0.01,0.00,0.01,45,15026,19:54
AAPL,AAPL150612C00136000,136.0,2015-06-12,Call,0.01,0.00,0.01,281,8944,19:54
AAPL,AAPL150612C00137000,137.0,2015-06-12,Call,0.01,0.00,0.01,17,11099,19:54
AAPL,AAPL150612C00138000,138.0,2015-06-12,Call,0.01,0.00,0.01,82,6943,19:54
AAPL,AAPL150612C00139000,139.0,2015-06-12,Call,0.01,0.00,0.01,24,1835,19:54
AAPL,AAPL150612C00140000,140.0,2015-06-12,Call,0.01,0.00,0.01,125,5010,19:54
AAPL,AAPL150612C00141000,141.0,2015-06-12,Call,0.01,0.00,0.01,500,1496,19:54
AAPL,AAPL150612C00142000,142.0,2015-06-12,Call,0.01,0.00,0.01,2,463,19:54
AAPL,AAPL150612C00143000,143.0,2015-06-12,Call,0.01,0.00,0.01,179,340,19:54
AAPL,AAPL150612C00144000,144.0,2015-06-12,Call,0.01,0.00,0.01,20,161,19:54
AAPL,AAPL150612C00145000,145.0,2015-06-12,Call,0.01,0.00,0.01,14,272,19:54
AAPL,AAPL150612C00146000,146.0,2015-06-12,Call,0.01,0.00,0.01,10,10,19:54
AAPL,AAPL150612C00147000,147.0,2015-06-12,Call,0.02,0.00,0.01,10,10,19:54
AAPL,AAPL150612C00150000,150.0,2015-06-12,Call,0.04,0.00,0.01,20,149,19:54
AAPL,AAPL150612C00155000,155.0,2015-06-12,Call,0.01,0.00,0.01,17,19,19:54
AAPL,AAPL150612C00160000,160.0,2015-06-12,Call,0.02,0.00,0.01,5,41,19:54
AAPL,AAPL150612P00095000,95.0,2015-06-12,Put,0.01,0.00,0.01,1,2,19:54
AAPL,AAPL150612P00100000,100.0,2015-06-12,Put,0.01,0.00,0.01,1000,1492,19:54
AAPL,AAPL150612P00105000,105.0,2015-06-12,Put,0.01,0.00,0.01,926,1502,19:54
AAPL,AAPL150612P00110000,110.0,2015-06-12,Put,0.01,0.00,0.01,239,2437,19:54
AAPL,AAPL150612P00112000,112.0,2015-06-12,Put,0.01,0.00,0.01,842,1990,19:54
AAPL,AAPL150612P00113000,113.0,2015-06-12,Put,0.01,0.00,0.01,400,1086,19:54
AAPL,AAPL150612P00114000,114.0,2015-06-12,Put,0.01,0.00,0.01,100,2927,19:54
AAPL,AAPL150612P00115000,115.0,2015-06-12,Put,0.01,0.00,0.01,10,4535,19:54
AAPL,AAPL150612P00116000,116.0,2015-06-12,Put,0.01,0.00,0.01,362,4375,19:54
AAPL,AAPL150612P00117000,117.0,2015-06-12,Put,0.01,0.00,0.01,2104,3570,19:54
AAPL,AAPL150612P00118000,118.0,2015-06-12,Put,0.01,0.00,0.01,130,2147,19:54
AAPL,AAPL150612P00119000,119.0,2015-06-12,Put,0.01,0.00,0.01,121,3823,19:54
AAPL,AAPL150612P00120000,120.0,2015-06-12,Put,0.01,0.00,0.01,247,8735,19:54
AAPL,AAPL150612P00121000,121.0,2015-06-12,Put,0.01,0.00,0.02,1875,5425,19:54
AAPL,AAPL150612P00122000,122.0,2015-06-12,Put,0.01,0.01,0.02,2954,9039,19:54
AAPL,AAPL150612P00123000,123.0,2015-06-12,Put,0.02,0.01,0.02,1299,10246,19:54
AAPL,AAPL150612P00124000,124.0,2015-06-12,Put,0.02,0.01,0.02,4221,14390,19:54
AAPL,AAPL150612P00125000,125.0,2015-06-12,Put,0.03,0.02,0.04,9182,30137,19:54
AAPL,AAPL150612P00126000,126.0,2015-06-12,Put,0.03,0.03,0.04,6506,18217,19:54
AAPL,AAPL150612P00127000,127.0,2015-06-12,Put,0.07,0.05,0.07,16695,20103,19:54
AAPL,AAPL150612P00128000,128.0,2015-06-12,Put,0.20,0.16,0.22,30955,20439,19:54
AAPL,AAPL150612P00129000,129.0,2015-06-12,Put,0.64,0.53,0.68,37977,14001,19:54
AAPL,AAPL150612P00130000,130.0,2015-06-12,Put,1.41,1.40,1.41,19311,10458,19:54
AAPL,AAPL150612P00131000,131.0,2015-06-12,Put,2.34,2.17,2.53,17534,3956,19:54
AAPL,AAPL150612P00132000,132.0,2015-06-12,Put,3.30,3.20,3.45,2367,3579,19:54
AAPL,AAPL150612P00133000,133.0,2015-06-12,Put,4.25,4.15,4.45,894,2193,19:54
AAPL,AAPL150612P00134000,134.0,2015-06-12,Put,5.23,5.20,5.45,294,1041,19:54
AAPL,AAPL150612P00135000,135.0,2015-06-12,Put,6.20,6.15,6.60,165,1386,19:54
AAPL,AAPL150612P00136000,136.0,2015-06-12,Put,6.80,7.20,7.45,155,631,19:54
AAPL,AAPL150612P00137000,137.0,2015-06-12,Put,7.45,8.20,8.45,59,527,19:54
AAPL,AAPL150612P00138000,138.0,2015-06-12,Put,9.00,9.20,9.45,17,419,19:54
AAPL,AAPL150612P00139000,139.0,2015-06-12,Put,9.85,10.10,10.65,10,220,19:54
AAPL,AAPL150612P00140000,140.0,2015-06-12,Put,10.90,11.10,11.65,10,204,19:54
AAPL,AAPL150612P00141000,141.0,2015-06-12,Put,14.20,12.05,12.85,20,58,19:54
AAPL,AAPL150612P00142000,142.0,2015-06-12,Put,15.20,0.00,0.00,5,5,19:54
AAPL,AAPL150612P00143000,143.0,2015-06-12,Put,13.85,13.75,14.85,3,13,19:54
AAPL,AAPL150612P00144000,144.0,2015-06-12,Put,12.00,0.00,0.00,5,0,19:54
AAPL,AAPL150612P00145000,145.0,2015-06-12,Put,16.00,15.20,16.90,6,0,19:54
AAPL,AAPL150612P00155000,155.0,2015-06-12,Put,24.45,25.20,26.85,25,0,19:54
StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
AAPL,AAPL150612C00085000,85.0,2015-06-12,Call,41.11,42.15,44.80,10,10,19:55
AAPL,AAPL150612C00100000,100.0,2015-06-12,Call,28.85,28.10,29.00,27,455,19:55
AAPL,AAPL150612C00105000,105.0,2015-06-12,Call,25.05,22.75,23.90,1,21,19:55
AAPL,AAPL150612C00110000,110.0,2015-06-12,Call,19.05,18.40,18.95,11,65,19:55
AAPL,AAPL150612C00112000,112.0,2015-06-12,Call,15.98,16.20,16.95,10,10,19:55
AAPL,AAPL150612C00113000,113.0,2015-06-12,Call,14.50,15.15,15.95,15,72,19:55
AAPL,AAPL150612C00114000,114.0,2015-06-12,Call,12.30,14.35,14.95,5,29,19:55
AAPL,AAPL150612C00115000,115.0,2015-06-12,Call,13.75,13.55,13.90,1,509,19:55
AAPL,AAPL150612C00116000,116.0,2015-06-12,Call,12.70,12.25,12.90,70,193,19:55
AAPL,AAPL150612C00117000,117.0,2015-06-12,Call,11.89,11.30,11.90,13,279,19:55
AAPL,AAPL150612C00118000,118.0,2015-06-12,Call,11.96,10.45,10.90,2,426,19:55
AAPL,AAPL150612C00119000,119.0,2015-06-12,Call,10.15,9.55,9.85,156,215,19:55
AAPL,AAPL150612C00120000,120.0,2015-06-12,Call,8.67,8.55,8.80,303,2168,19:55
AAPL,AAPL150612C00121000,121.0,2015-06-12,Call,7.70,7.55,7.85,113,378,19:55
AAPL,AAPL150612C00122000,122.0,2015-06-12,Call,6.75,6.55,6.80,98,533,19:55
AAPL,AAPL150612C00123000,123.0,2015-06-12,Call,5.75,5.50,5.80,209,1237,19:55
AAPL,AAPL150612C00124000,124.0,2015-06-12,Call,4.70,4.60,4.80,146,1807,19:55
AAPL,AAPL150612C00125000,125.0,2015-06-12,Call,3.75,3.55,3.85,7281,4320,19:55
AAPL,AAPL150612C00126000,126.0,2015-06-12,Call,2.74,2.50,2.85,2152,5306,19:55
AAPL,AAPL150612C00127000,127.0,2015-06-12,Call,1.79,1.65,1.90,7953,6939,19:55
AAPL,AAPL150612C00128000,128.0,2015-06-12,Call,0.85,0.85,0.97,22293,17612,19:55
AAPL,AAPL150612C00129000,129.0,2015-06-12,Call,0.30,0.27,0.33,44766,25716,19:55
AAPL,AAPL150612C00130000,130.0,2015-06-12,Call,0.07,0.07,0.08,54743,40103,19:55
AAPL,AAPL150612C00131000,131.0,2015-06-12,Call,0.03,0.02,0.03,31082,28309,19:55
AAPL,AAPL150612C00132000,132.0,2015-06-12,Call,0.02,0.01,0.02,9633,22067,19:55
AAPL,AAPL150612C00133000,133.0,2015-06-12,Call,0.01,0.00,0.01,6433,49642,19:55
AAPL,AAPL150612C00134000,134.0,2015-06-12,Call,0.02,0.00,0.02,2187,11000,19:55
AAPL,AAPL150612C00135000,135.0,2015-06-12,Call,0.01,0.00,0.01,45,15026,19:55
AAPL,AAPL150612C00136000,136.0,2015-06-12,Call,0.01,0.00,0.01,281,8944,19:55
AAPL,AAPL150612C00137000,137.0,2015-06-12,Call,0.01,0.00,0.01,17,11099,19:55
AAPL,AAPL150612C00138000,138.0,2015-06-12,Call,0.01,0.00,0.01,82,6943,19:55
AAPL,AAPL150612C00139000,139.0,2015-06-12,Call,0.01,0.00,0.01,24,1835,19:55
AAPL,AAPL150612C00140000,140.0,2015-06-12,Call,0.01,0.00,0.01,125,5010,19:55
AAPL,AAPL150612C00141000,141.0,2015-06-12,Call,0.01,0.00,0.01,500,1496,19:55
AAPL,AAPL150612C00142000,142.0,2015-06-12,Call,0.01,0.00,0.01,2,463,19:55
AAPL,AAPL150612C00143000,143.0,2015-06-12,Call,0.01,0.00,0.01,179,340,19:55
AAPL,AAPL150612C00144000,144.0,2015-06-12,Call,0.01,0.00,0.01,20,161,19:55
AAPL,AAPL150612C00145000,145.0,2015-06-12,Call,0.01,0.00,0.01,14,272,19:55
AAPL,AAPL150612C00146000,146.0,2015-06-12,Call,0.01,0.00,0.01,10,10,19:55
AAPL,AAPL150612C00147000,147.0,2015-06-12,Call,0.02,0.00,0.01,10,10,19:55
AAPL,AAPL150612C00150000,150.0,2015-06-12,Call,0.04,0.00,0.01,20,149,19:55
AAPL,AAPL150612C00155000,155.0,2015-06-12,Call,0.01,0.00,0.01,17,19,19:55
AAPL,AAPL150612C00160000,160.0,2015-06-12,Call,0.02,0.00,0.01,5,41,19:55
AAPL,AAPL150612P00095000,95.0,2015-06-12,Put,0.01,0.00,0.01,1,2,19:55
AAPL,AAPL150612P00100000,100.0,2015-06-12,Put,0.01,0.00,0.01,1000,1492,19:55
AAPL,AAPL150612P00105000,105.0,2015-06-12,Put,0.01,0.00,0.01,926,1502,19:55
AAPL,AAPL150612P00110000,110.0,2015-06-12,Put,0.01,0.00,0.01,239,2437,19:55
AAPL,AAPL150612P00112000,112.0,2015-06-12,Put,0.01,0.00,0.01,842,1990,19:55
AAPL,AAPL150612P00113000,113.0,2015-06-12,Put,0.01,0.00,0.01,400,1086,19:55
AAPL,AAPL150612P00114000,114.0,2015-06-12,Put,0.01,0.00,0.01,100,2927,19:55
AAPL,AAPL150612P00115000,115.0,2015-06-12,Put,0.01,0.00,0.01,10,4535,19:55
AAPL,AAPL150612P00116000,116.0,2015-06-12,Put,0.01,0.00,0.01,362,4375,19:55
AAPL,AAPL150612P00117000,117.0,2015-06-12,Put,0.01,0.00,0.01,2104,3570,19:55
AAPL,AAPL150612P00118000,118.0,2015-06-12,Put,0.01,0.00,0.01,130,2147,19:55
AAPL,AAPL150612P00119000,119.0,2015-06-12,Put,0.01,0.00,0.01,121,3823,19:55
AAPL,AAPL150612P00120000,120.0,2015-06-12,Put,0.01,0.00,0.01,247,8735,19:55
AAPL,AAPL150612P00121000,121.0,2015-06-12,Put,0.01,0.00,0.02,1875,5425,19:55
AAPL,AAPL150612P00122000,122.0,2015-06-12,Put,0.01,0.01,0.02,2954,9039,19:55
AAPL,AAPL150612P00123000,123.0,2015-06-12,Put,0.02,0.01,0.02,1299,10246,19:55
AAPL,AAPL150612P00124000,124.0,2015-06-12,Put,0.02,0.01,0.02,4221,14390,19:55
AAPL,AAPL150612P00125000,125.0,2015-06-12,Put,0.03,0.02,0.04,9182,30137,19:55
AAPL,AAPL150612P00126000,126.0,2015-06-12,Put,0.03,0.03,0.04,6506,18217,19:55
AAPL,AAPL150612P00127000,127.0,2015-06-12,Put,0.07,0.05,0.07,16695,20103,19:55
AAPL,AAPL150612P00128000,128.0,2015-06-12,Put,0.20,0.16,0.22,30955,20439,19:55
AAPL,AAPL150612P00129000,129.0,2015-06-12,Put,0.64,0.53,0.68,37977,14001,19:55
AAPL,AAPL150612P00130000,130.0,2015-06-12,Put,1.41,1.40,1.41,19311,10458,19:55
AAPL,AAPL150612P00131000,131.0,2015-06-12,Put,2.34,2.17,2.53,17534,3956,19:55
AAPL,AAPL150612P00132000,132.0,2015-06-12,Put,3.30,3.20,3.45,2367,3579,19:55
AAPL,AAPL150612P00133000,133.0,2015-06-12,Put,4.25,4.15,4.45,894,2193,19:55
AAPL,AAPL150612P00134000,134.0,2015-06-12,Put,5.23,5.20,5.45,294,1041,19:55
AAPL,AAPL150612P00135000,135.0,2015-06-12,Put,6.20,6.15,6.60,165,1386,19:55
AAPL,AAPL150612P00136000,136.0,2015-06-12,Put,6.80,7.20,7.45,155,631,19:55
AAPL,AAPL150612P00137000,137.0,2015-06-12,Put,7.45,8.20,8.45,59,527,19:55
AAPL,AAPL150612P00138000,138.0,2015-06-12,Put,9.00,9.20,9.45,17,419,19:55
AAPL,AAPL150612P00139000,139.0,2015-06-12,Put,9.85,10.10,10.65,10,220,19:55
AAPL,AAPL150612P00140000,140.0,2015-06-12,Put,10.90,11.10,11.65,10,204,19:55
AAPL,AAPL150612P00141000,141.0,2015-06-12,Put,14.20,12.05,12.85,20,58,19:55
AAPL,AAPL150612P00142000,142.0,2015-06-12,Put,15.20,0.00,0.00,5,5,19:55
AAPL,AAPL150612P00143000,143.0,2015-06-12,Put,13.85,13.75,14.85,3,13,19:55
AAPL,AAPL150612P00144000,144.0,2015-06-12,Put,12.00,0.00,0.00,5,0,19:55
AAPL,AAPL150612P00145000,145.0,2015-06-12,Put,16.00,15.20,16.90,6,0,19:55
AAPL,AAPL150612P00155000,155.0,2015-06-12,Put,24.45,25.20,26.85,25,0,19:55
StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
AAPL,AAPL150612C00085000,85.0,2015-06-12,Call,41.11,42.15,44.80,10,10,19:56
AAPL,AAPL150612C00100000,100.0,2015-06-12,Call,28.85,28.10,29.00,27,455,19:56
AAPL,AAPL150612C00105000,105.0,2015-06-12,Call,25.05,22.75,23.90,1,21,19:56
AAPL,AAPL150612C00110000,110.0,2015-06-12,Call,19.05,18.40,18.95,11,65,19:56
AAPL,AAPL150612C00112000,112.0,2015-06-12,Call,15.98,16.20,16.95,10,10,19:56
AAPL,AAPL150612C00113000,113.0,2015-06-12,Call,14.50,15.15,15.95,15,72,19:56
AAPL,AAPL150612C00114000,114.0,2015-06-12,Call,12.30,14.35,14.95,5,29,19:56
AAPL,AAPL150612C00115000,115.0,2015-06-12,Call,13.75,13.55,13.90,1,509,19:56
AAPL,AAPL150612C00116000,116.0,2015-06-12,Call,12.70,12.25,12.90,70,193,19:56
AAPL,AAPL150612C00117000,117.0,2015-06-12,Call,11.89,11.30,11.90,13,279,19:56
AAPL,AAPL150612C00118000,118.0,2015-06-12,Call,11.96,10.45,10.90,2,426,19:56
AAPL,AAPL150612C00119000,119.0,2015-06-12,Call,10.15,9.55,9.85,156,215,19:56
AAPL,AAPL150612C00120000,120.0,2015-06-12,Call,8.67,8.55,8.80,303,2168,19:56
AAPL,AAPL150612C00121000,121.0,2015-06-12,Call,7.70,7.55,7.85,113,378,19:56
AAPL,AAPL150612C00122000,122.0,2015-06-12,Call,6.75,6.55,6.80,98,533,19:56
AAPL,AAPL150612C00123000,123.0,2015-06-12,Call,5.75,5.50,5.80,209,1237,19:56
AAPL,AAPL150612C00124000,124.0,2015-06-12,Call,4.70,4.60,4.80,146,1807,19:56
AAPL,AAPL150612C00125000,125.0,2015-06-12,Call,3.75,3.55,3.85,7281,4320,19:56
AAPL,AAPL150612C00126000,126.0,2015-06-12,Call,2.74,2.50,2.85,2152,5306,19:56
AAPL,AAPL150612C00127000,127.0,2015-06-12,Call,1.79,1.65,1.90,7953,6939,19:56
AAPL,AAPL150612C00128000,128.0,2015-06-12,Call,0.85,0.85,0.97,22293,17612,19:56
AAPL,AAPL150612C00129000,129.0,2015-06-12,Call,0.30,0.27,0.33,44766,25716,19:56
AAPL,AAPL150612C00130000,130.0,2015-06-12,Call,0.07,0.07,0.08,54743,40103,19:56
AAPL,AAPL150612C00131000,131.0,2015-06-12,Call,0.03,0.02,0.03,31082,28309,19:56
AAPL,AAPL150612C00132000,132.0,2015-06-12,Call,0.02,0.01,0.02,9633,22067,19:56
AAPL,AAPL150612C00133000,133.0,2015-06-12,Call,0.01,0.00,0.01,6433,49642,19:56
AAPL,AAPL150612C00134000,134.0,2015-06-12,Call,0.02,0.00,0.02,2187,11000,19:56
AAPL,AAPL150612C00135000,135.0,2015-06-12,Call,0.01,0.00,0.01,45,15026,19:56
AAPL,AAPL150612C00136000,136.0,2015-06-12,Call,0.01,0.00,0.01,281,8944,19:56
AAPL,AAPL150612C00137000,137.0,2015-06-12,Call,0.01,0.00,0.01,17,11099,19:56
AAPL,AAPL150612C00138000,138.0,2015-06-12,Call,0.01,0.00,0.01,82,6943,19:56
AAPL,AAPL150612C00139000,139.0,2015-06-12,Call,0.01,0.00,0.01,24,1835,19:56
AAPL,AAPL150612C00140000,140.0,2015-06-12,Call,0.01,0.00,0.01,125,5010,19:56
AAPL,AAPL150612C00141000,141.0,2015-06-12,Call,0.01,0.00,0.01,500,1496,19:56
AAPL,AAPL150612C00142000,142.0,2015-06-12,Call,0.01,0.00,0.01,2,463,19:56
AAPL,AAPL150612C00143000,143.0,2015-06-12,Call,0.01,0.00,0.01,179,340,19:56
AAPL,AAPL150612C00144000,144.0,2015-06-12,Call,0.01,0.00,0.01,20,161,19:56
AAPL,AAPL150612C00145000,145.0,2015-06-12,Call,0.01,0.00,0.01,14,272,19:56
AAPL,AAPL150612C00146000,146.0,2015-06-12,Call,0.01,0.00,0.01,10,10,19:56
AAPL,AAPL150612C00147000,147.0,2015-06-12,Call,0.02,0.00,0.01,10,10,19:56
AAPL,AAPL150612C00150000,150.0,2015-06-12,Call,0.04,0.00,0.01,20,149,19:56
AAPL,AAPL150612C00155000,155.0,2015-06-12,Call,0.01,0.00,0.01,17,19,19:57
AAPL,AAPL150612C00160000,160.0,2015-06-12,Call,0.02,0.00,0.01,5,41,19:57
AAPL,AAPL150612P00095000,95.0,2015-06-12,Put,0.01,0.00,0.01,1,2,19:57
AAPL,AAPL150612P00100000,100.0,2015-06-12,Put,0.01,0.00,0.01,1000,1492,19:57
AAPL,AAPL150612P00105000,105.0,2015-06-12,Put,0.01,0.00,0.01,926,1502,19:57
AAPL,AAPL150612P00110000,110.0,2015-06-12,Put,0.01,0.00,0.01,239,2437,19:57
AAPL,AAPL150612P00112000,112.0,2015-06-12,Put,0.01,0.00,0.01,842,1990,19:57
AAPL,AAPL150612P00113000,113.0,2015-06-12,Put,0.01,0.00,0.01,400,1086,19:57
AAPL,AAPL150612P00114000,114.0,2015-06-12,Put,0.01,0.00,0.01,100,2927,19:57
AAPL,AAPL150612P00115000,115.0,2015-06-12,Put,0.01,0.00,0.01,10,4535,19:57
AAPL,AAPL150612P00116000,116.0,2015-06-12,Put,0.01,0.00,0.01,362,4375,19:57
AAPL,AAPL150612P00117000,117.0,2015-06-12,Put,0.01,0.00,0.01,2104,3570,19:57
AAPL,AAPL150612P00118000,118.0,2015-06-12,Put,0.01,0.00,0.01,130,2147,19:57
AAPL,AAPL150612P00119000,119.0,2015-06-12,Put,0.01,0.00,0.01,121,3823,19:57
AAPL,AAPL150612P00120000,120.0,2015-06-12,Put,0.01,0.00,0.01,247,8735,19:57
AAPL,AAPL150612P00121000,121.0,2015-06-12,Put,0.01,0.00,0.02,1875,5425,19:57
AAPL,AAPL150612P00122000,122.0,2015-06-12,Put,0.01,0.01,0.02,2954,9039,19:57
AAPL,AAPL150612P00123000,123.0,2015-06-12,Put,0.02,0.01,0.02,1299,10246,19:57
AAPL,AAPL150612P00124000,124.0,2015-06-12,Put,0.02,0.01,0.02,4221,14390,19:57
AAPL,AAPL150612P00125000,125.0,2015-06-12,Put,0.03,0.02,0.04,9182,30137,19:57
AAPL,AAPL150612P00126000,126.0,2015-06-12,Put,0.03,0.03,0.04,6506,18217,19:57
AAPL,AAPL150612P00127000,127.0,2015-06-12,Put,0.07,0.05,0.07,16695,20103,19:57
AAPL,AAPL150612P00128000,128.0,2015-06-12,Put,0.20,0.16,0.22,30955,20439,19:57
AAPL,AAPL150612P00129000,129.0,2015-06-12,Put,0.64,0.53,0.68,37977,14001,19:57
AAPL,AAPL150612P00130000,130.0,2015-06-12,Put,1.41,1.40,1.41,19311,10458,19:57
AAPL,AAPL150612P00131000,131.0,2015-06-12,Put,2.34,2.17,2.53,17534,3956,19:57
AAPL,AAPL150612P00132000,132.0,2015-06-12,Put,3.30,3.20,3.45,2367,3579,19:57
AAPL,AAPL150612P00133000,133.0,2015-06-12,Put,4.25,4.15,4.45,894,2193,19:57
AAPL,AAPL150612P00134000,134.0,2015-06-12,Put,5.23,5.20,5.45,294,1041,19:57
AAPL,AAPL150612P00135000,135.0,2015-06-12,Put,6.20,6.15,6.60,165,1386,19:57
AAPL,AAPL150612P00136000,136.0,2015-06-12,Put,6.80,7.20,7.45,155,631,19:57
AAPL,AAPL150612P00137000,137.0,2015-06-12,Put,7.45,8.20,8.45,59,527,19:57
AAPL,AAPL150612P00138000,138.0,2015-06-12,Put,9.00,9.20,9.45,17,419,19:57
AAPL,AAPL150612P00139000,139.0,2015-06-12,Put,9.85,10.10,10.65,10,220,19:57
AAPL,AAPL150612P00140000,140.0,2015-06-12,Put,10.90,11.10,11.65,10,204,19:57
AAPL,AAPL150612P00141000,141.0,2015-06-12,Put,14.20,12.05,12.85,20,58,19:57
AAPL,AAPL150612P00142000,142.0,2015-06-12,Put,15.20,0.00,0.00,5,5,19:57
AAPL,AAPL150612P00143000,143.0,2015-06-12,Put,13.85,13.75,14.85,3,13,19:57
AAPL,AAPL150612P00144000,144.0,2015-06-12,Put,12.00,0.00,0.00,5,0,19:57
AAPL,AAPL150612P00145000,145.0,2015-06-12,Put,16.00,15.20,16.90,6,0,19:57
AAPL,AAPL150612P00155000,155.0,2015-06-12,Put,24.45,25.20,26.85,25,0,19:57
StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
AAPL,AAPL150612C00085000,85.0,2015-06-12,Call,41.11,42.15,44.80,10,10,19:58
AAPL,AAPL150612C00100000,100.0,2015-06-12,Call,28.85,28.10,29.00,27,455,19:58
AAPL,AAPL150612C00105000,105.0,2015-06-12,Call,25.05,22.75,23.90,1,21,19:58
AAPL,AAPL150612C00110000,110.0,2015-06-12,Call,19.05,18.40,18.95,11,65,19:58
AAPL,AAPL150612C00112000,112.0,2015-06-12,Call,15.98,16.20,16.95,10,10,19:58
AAPL,AAPL150612C00113000,113.0,2015-06-12,Call,14.50,15.15,15.95,15,72,19:58
AAPL,AAPL150612C00114000,114.0,2015-06-12,Call,12.30,14.35,14.95,5,29,19:58
AAPL,AAPL150612C00115000,115.0,2015-06-12,Call,13.75,13.55,13.90,1,509,19:58
AAPL,AAPL150612C00116000,116.0,2015-06-12,Call,12.70,12.25,12.90,70,193,19:58
AAPL,AAPL150612C00117000,117.0,2015-06-12,Call,11.89,11.30,11.90,13,279,19:58
AAPL,AAPL150612C00118000,118.0,2015-06-12,Call,11.96,10.45,10.90,2,426,19:58
AAPL,AAPL150612C00119000,119.0,2015-06-12,Call,10.15,9.55,9.85,156,215,19:58
AAPL,AAPL150612C00120000,120.0,2015-06-12,Call,8.67,8.55,8.80,303,2168,19:58
AAPL,AAPL150612C00121000,121.0,2015-06-12,Call,7.70,7.55,7.85,113,378,19:58
AAPL,AAPL150612C00122000,122.0,2015-06-12,Call,6.75,6.55,6.80,98,533,19:58
AAPL,AAPL150612C00123000,123.0,2015-06-12,Call,5.75,5.50,5.80,209,1237,19:58
AAPL,AAPL150612C00124000,124.0,2015-06-12,Call,4.70,4.60,4.80,146,1807,19:58
AAPL,AAPL150612C00125000,125.0,2015-06-12,Call,3.75,3.55,3.85,7281,4320,19:58
AAPL,AAPL150612C00126000,126.0,2015-06-12,Call,2.74,2.50,2.85,2152,5306,19:58
AAPL,AAPL150612C00127000,127.0,2015-06-12,Call,1.79,1.65,1.90,7953,6939,19:58
AAPL,AAPL150612C00128000,128.0,2015-06-12,Call,0.85,0.85,0.97,22293,17612,19:58
AAPL,AAPL150612C00129000,129.0,2015-06-12,Call,0.30,0.27,0.33,44766,25716,19:58
AAPL,AAPL150612C00130000,130.0,2015-06-12,Call,0.07,0.07,0.08,54743,40103,19:58
AAPL,AAPL150612C00131000,131.0,2015-06-12,Call,0.03,0.02,0.03,31082,28309,19:58
AAPL,AAPL150612C00132000,132.0,2015-06-12,Call,0.02,0.01,0.02,9633,22067,19:58
AAPL,AAPL150612C00133000,133.0,2015-06-12,Call,0.01,0.00,0.01,6433,49642,19:58
AAPL,AAPL150612C00134000,134.0,2015-06-12,Call,0.02,0.00,0.02,2187,11000,19:58
AAPL,AAPL150612C00135000,135.0,2015-06-12,Call,0.01,0.00,0.01,45,15026,19:58
AAPL,AAPL150612C00136000,136.0,2015-06-12,Call,0.01,0.00,0.01,281,8944,19:58
AAPL,AAPL150612C00137000,137.0,2015-06-12,Call,0.01,0.00,0.01,17,11099,19:58
AAPL,AAPL150612C00138000,138.0,2015-06-12,Call,0.01,0.00,0.01,82,6943,19:58
AAPL,AAPL150612C00139000,139.0,2015-06-12,Call,0.01,0.00,0.01,24,1835,19:58
AAPL,AAPL150612C00140000,140.0,2015-06-12,Call,0.01,0.00,0.01,125,5010,19:58
AAPL,AAPL150612C00141000,141.0,2015-06-12,Call,0.01,0.00,0.01,500,1496,19:58
AAPL,AAPL150612C00142000,142.0,2015-06-12,Call,0.01,0.00,0.01,2,463,19:58
AAPL,AAPL150612C00143000,143.0,2015-06-12,Call,0.01,0.00,0.01,179,340,19:58
AAPL,AAPL150612C00144000,144.0,2015-06-12,Call,0.01,0.00,0.01,20,161,19:58
AAPL,AAPL150612C00145000,145.0,2015-06-12,Call,0.01,0.00,0.01,14,272,19:58
AAPL,AAPL150612C00146000,146.0,2015-06-12,Call,0.01,0.00,0.01,10,10,19:58
AAPL,AAPL150612C00147000,147.0,2015-06-12,Call,0.02,0.00,0.01,10,10,19:58
AAPL,AAPL150612C00150000,150.0,2015-06-12,Call,0.04,0.00,0.01,20,149,19:58
AAPL,AAPL150612C00155000,155.0,2015-06-12,Call,0.01,0.00,0.01,17,19,19:58
AAPL,AAPL150612C00160000,160.0,2015-06-12,Call,0.02,0.00,0.01,5,41,19:58
AAPL,AAPL150612P00095000,95.0,2015-06-12,Put,0.01,0.00,0.01,1,2,19:58
AAPL,AAPL150612P00100000,100.0,2015-06-12,Put,0.01,0.00,0.01,1000,1492,19:58
AAPL,AAPL150612P00105000,105.0,2015-06-12,Put,0.01,0.00,0.01,926,1502,19:58
AAPL,AAPL150612P00110000,110.0,2015-06-12,Put,0.01,0.00,0.01,239,2437,19:58
AAPL,AAPL150612P00112000,112.0,2015-06-12,Put,0.01,0.00,0.01,842,1990,19:58
